Ano/mês atendimento;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
2023;15482;5555;24183;5772;55526;6027;8963;53282;25874;65945;14587;25737;56171;11304;10741;80202;145037;24206;72220;248316;98079;58919;91639;22385;22653;40160;22487;1311452
jan/23;635;296;1325;387;3502;323;495;2909;1644;3235;862;1325;3458;773;584;4609;8988;1406;4174;15222;5321;3267;5210;1083;1185;2859;1556;76633
fev/23;965;280;1452;399;3544;356;654;3114;1659;4036;837;1463;3459;678;560;4455;10154;1545;4504;19023;6091;3189;4203;1194;1625;3716;2071;85226
Março/2023;1616;338;2028;439;5241;508;956;4890;2230;6095;984;2186;4366;1018;830;7448;14315;2413;6664;23771;9408;5010;7201;2390;2558;4511;2801;122215
abr/23;2090;430;2593;383;5745;596;1015;5642;2612;7654;1296;2888;5544;1035;1226;7731;13369;2457;7955;23289;9528;5708;8048;2493;2771;3804;2459;130361
mai/23;2050;609;3052;554;6532;822;1086;6789;3276;8924;1683;3111;6602;1212;1185;9013;14928;2529;8119;25469;10441;7021;10949;2629;2670;4054;2359;147668
jun/23;1485;712;3101;622;5879;759;895;6071;2635;6916;1384;2518;5651;1197;1037;7965;14176;2339;7068;24108;9810;5865;10025;2174;2058;3483;2001;131934
jul/23;1289;714;2629;675;4615;562;699;4785;2239;5030;1423;2307;5091;1010;1023;7526;14760;2282;6593;22475;9539;5837;9556;2270;1878;3517;1744;122068
ago/23;1212;550;2152;628;4418;555;694;4087;2115;4899;1394;2434;4814;1063;919;7327;12685;2238;6215;22243;9142;5286;8898;1779;1866;3234;1720;114567
set/23;1096;434;1587;457;4362;397;704;3903;1946;4901;1353;1967;4399;937;983;6472;11445;1929;5812;19391;7922;4836;7631;1699;1615;2995;1432;102605
out/23;1142;493;1573;453;4128;445;588;3986;2017;5014;1176;2018;4859;967;968;6597;10579;1910;5728;18857;7567;4884;7452;1657;1600;2659;1478;100795
nov/23;992;381;1441;417;3906;367;606;3753;1924;4870;1092;1866;4227;791;730;5820;10395;1653;5099;18477;7144;4242;6567;1563;1399;2633;1519;93874
dez/23;910;318;1250;358;3654;337;571;3353;1577;4371;1103;1654;3701;623;696;5239;9243;1505;4289;15991;6166;3774;5899;1454;1428;2695;1347;83506
2024;14945;5098;22627;4643;51618;5534;9555;49554;23450;64636;14793;29805;57571;10782;10968;83456;162155;26836;71916;261405;107588;68229;97303;22044;24510;40691;22191;1363903
jan/24;662;294;1239;248;3753;350;496;3138;1484;3617;856;1406;3034;581;616;4707;8917;1394;3999;14288;5781;3647;5262;1192;1311;2439;1102;75813
fev/24;746;320;1195;269;3599;303;618;2804;1354;3980;843;1490;2770;554;636;4436;9151;1441;4078;15597;5955;3663;4770;1095;1413;2750;1267;77097
Março/2024;1190;412;1787;330;5608;515;938;4881;2153;5639;1157;2711;4403;911;844;6912;12801;2320;5625;21206;7935;4997;6743;1595;2147;3637;2302;111699
